spotify_id,artist,name,popularity,duration_ms,explicit,source_playlist,mood
195PPZNLpw1gkCyBuh6kkY,Labyrinthines,Altered Planes,59,164954,False,LICENTA_RELAX,relax
13AqFyR1BwXAcskpEEInkD,Luna Novina,Ascent,60,191884,False,LICENTA_RELAX,relax
4edGuyRO2A1u4fRekJm6NZ,Somniare,Lucens,59,160330,False,LICENTA_RELAX,relax
0LBtZVrDF6MbRr0tMySgLW,Caer Ibormeith,Snowlight Dream,60,150857,False,LICENTA_RELAX,relax
0ZayE3BR1LXQSfkAai96Ib,Tide Nebula,Dreaming in Love’s Radiance,60,190000,False,LICENTA_RELAX,relax
56B7EAyH2PIRO7sIPBWgdd,Ramses Ravi,Lugnet,59,159677,False,LICENTA_RELAX,relax
7gNJ71yLoBF2mSbPqvVwrx,Starstrum,Gravity Planet,60,143498,False,LICENTA_RELAX,relax
0PeJF80wL3d6Z3GF6qaTDs,Luno Velle,Amanter,58,144800,False,LICENTA_RELAX,relax
370XBedOfLiax2dbAuuhKd,Warmth of Muba,Calm Mind,59,138750,False,LICENTA_RELAX,relax
0qd4mu1lWIUumPHcEwU6Yj,Eternalistic,Vanishing Light,61,130992,False,LICENTA_RELAX,relax
3Tu7IMjLuD54GnjR4fMRz8,Umi no Yume,Silent Sanctuary,59,149536,False,LICENTA_RELAX,relax
3kSfV1yDFnSyfOdVEiu1Sb,Dunham Froebel,Sound Mind,59,153900,False,LICENTA_RELAX,relax
6l0WdPwQ4zbMFVLFfzORpm,Evolving Stream,Watching The Sky,58,165454,False,LICENTA_RELAX,relax
3KjQNWPpeYDFMXPubhVM3C,Ceylan Aydem Project,Stiltje,59,136121,False,LICENTA_RELAX,relax
1stIi0dThVzgYrPm68XH7q,Prodigieux,Ceres,57,156923,False,LICENTA_RELAX,relax
4AJwv7y2caxWP1erCy5qHt,Felix Brightwood,Inner Peace,56,144000,False,LICENTA_RELAX,relax
2dEBFQrm8RmQP4DCiAi4NS,YON,Forge,57,167195,False,LICENTA_RELAX,relax
61RaEvriQ3vWcMt7GIu45b,Galaxarastra,Calyphora Sky,56,162556,False,LICENTA_RELAX,relax
5A0021J1LLZY3Ke69biERy,Lonely Silence,To the Moment,55,132000,False,LICENTA_RELAX,relax
40kLh8BMKtxYzClE877nBd,Paix Sonique,The Quiet Return,57,177200,False,LICENTA_RELAX,relax
2wKyBcfJVl0Qoyhy7bUgYY,Little Circuits,Immersive Lights,58,147586,False,LICENTA_RELAX,relax
3YYJNRPrHL5YbklD92Y0GR,Sonic Waterfall,Overlap Zone,59,194000,False,LICENTA_RELAX,relax
5Z88C3CZtuBsvQGby7k173,Suevite,Cenotes,58,169385,False,LICENTA_RELAX,relax
60s781f3SdZCW5ExEmjZjG,Eline Moss,Close Sustain,55,161680,False,LICENTA_RELAX,relax
3zufI80Fem22S4bBiEUqNH,Pitouu,Faith In Motion,57,154000,False,LICENTA_RELAX,relax
2QPQ9ClR69KZ6BOacRex9x,Paia Mooni,Haven,60,171780,False,LICENTA_RELAX,relax
5Ma2KkyGiY9AsFuSVBlDx3,Orion's Passage,The Path That Comes Around,52,185000,False,LICENTA_RELAX,relax
7aollirFhPwjpYlF9xD2Uz,Safe Mode,Evensong,56,135356,False,LICENTA_RELAX,relax
19PBGxKb4vebSTZGhlc9uh,Slepth,Candlelight,59,163000,False,LICENTA_RELAX,relax
1WIBHNY7gVwg2qq82preNn,Hello Artemisia!,Natural folds in the flame,57,176666,False,LICENTA_RELAX,relax
1o1AKHjSmRYdIJ6PXuHCj4,Brkati Madjinca,The Still Before,57,139838,False,LICENTA_RELAX,relax
0nXbtfD3RNG87m4H2s3Cxd,Kharma Initiative,Through Stillness Alone,53,187142,False,LICENTA_RELAX,relax
2rTua7tKIUh4PD9kQda06I,Wicker Whales,Afterglow,51,142913,False,LICENTA_RELAX,relax
0jqb1KpD56HLYlPeDj0TBz,Warmth of Muba,Redemption Call,57,144250,False,LICENTA_RELAX,relax
6G6EAmGXX7T52zOWj2GWPE,EMIKO,Liminal,61,145500,False,LICENTA_RELAX,relax
4UUlHb2AOtdGN4JGSn3IkJ,Arctilok,Patience,57,196721,False,LICENTA_RELAX,relax
5S8XssuWkKSA6SOBL9ZA2W,Luminary Night,Night Serenade,57,154000,False,LICENTA_RELAX,relax
1beH6wP2A4UvWEVcbaUrtl,Zooids,Shunyata,57,160760,False,LICENTA_RELAX,relax
7wUZYkmsiQbqCYHphqOcWY,Heddwch,Featherlight,51,150816,False,LICENTA_RELAX,relax
0PYPLBVkokShakTqmGCbRg,Opheralis,Skosh,53,138000,False,LICENTA_RELAX,relax
4k0Ytghuul9KbJBWCZJgyK,Jorin Williams,Drifting Through Time,54,137687,False,LICENTA_RELAX,relax
7J3Zu2XRE9d5VIgTXJkm6C,Joseph Sai,Blue Sapphire,53,160000,False,LICENTA_RELAX,relax
4uSFlgIdhWIe1zi6lfKcpQ,Rubicon Fray,Opal Mirage,61,188888,False,LICENTA_RELAX,relax
5STjn9OmRoyVMKbaylokXp,Seth Sands,Distant Traveler,60,137647,False,LICENTA_RELAX,relax
31mVcdvmTM4xNFrWGBQKQM,Ethereon,Ashore In Harmony,49,158000,False,LICENTA_RELAX,relax
7vToaZqn59Gw3ofYo5SYcj,Aerial Lakes,Effortless,57,162935,False,LICENTA_RELAX,relax
4LyDHXJDTfFSxuhpivXgGd,Escix V,Winters Sleep,56,163422,False,LICENTA_RELAX,relax
6pN3WgxUrZdeaGZhtisach,Crystalsong,Window View,55,189620,False,LICENTA_RELAX,relax
6ppRmWDv6nKeO7TxEtr7EC,Benjin Blund,Tranquil Pathway,58,165312,False,LICENTA_RELAX,relax
3eU1mnj9Xf0aIi8LwCOAgR,Astred,Obscure,54,168250,False,LICENTA_RELAX,relax
7MkiljC7OZvtOsVNJzMk8t,Kal Koren,Moon Shaped,49,140000,False,LICENTA_RELAX,relax
58Fz9k3Fkh2mZwEjhBPqlu,Amber Glow,Enlightened Drift,54,196320,False,LICENTA_RELAX,relax
13aO4GXU92PdB37eSOxvrp,Glass Dome,Abundant,55,150465,False,LICENTA_RELAX,relax
23rZmyaskgvvJ0ddEAoSdn,Monkey Mindset,Unravel,54,156923,False,LICENTA_RELAX,relax
5M4gSbkmAJzpEJtnp3ttFs,Lonely Silence,Stream,54,141500,False,LICENTA_RELAX,relax
3SmEWZmOSHBR0tlO0U2zmT,Long Lake,Douce Nuit,55,175500,False,LICENTA_RELAX,relax
2LkVMxzdgR9tzDDFDW9wU4,Remi Ainsley,Ascension,52,167717,False,LICENTA_RELAX,relax
0gGoQFbwTakternKhDooJB,Harmonic Reverie,Fljótandi,58,159374,False,LICENTA_RELAX,relax
0AIQ3hRD42qwYTvIgSIZSt,Moon Whisperer,Solace,54,141674,False,LICENTA_RELAX,relax
35jK6reZZ1BvRNMT8l9P4T,unvrsl frqncy,Eclipse,58,166666,False,LICENTA_RELAX,relax
0qcLXF6T4KAZrfHY0reorP,Koma,Shining Star,57,157212,False,LICENTA_RELAX,relax
01VjVryFnQ9CpSyCqoq5YZ,Astral Lighthouse,Blue Drifts,53,164947,False,LICENTA_RELAX,relax
4EqPxR0YzabZ7tZCkYn0va,Ögonblick,Entity,52,158780,False,LICENTA_RELAX,relax
3bKCh1q0CTDRZJ0a7OtwkR,Arya Shae,All the stars,59,186581,False,LICENTA_RELAX,relax
1IujpOdQYzlwdEl7WnqjhS,Sonic Serenity,Resonant Reflections,53,171197,False,LICENTA_RELAX,relax
3yW6LU9UnUUZgmztuR0xLR,Hugleiösla,Sofið Vel,53,175095,False,LICENTA_RELAX,relax
3T0pE0Y5DAzNAZTrnLagCt,Broken Peak,Lavender,53,172500,False,LICENTA_RELAX,relax
5HoMACjzllgo4Wvp89azXH,Roots Connection,Sleep Signals,54,130285,False,LICENTA_RELAX,relax
3ussEoYwAJpdrdCffRL8Fy,Lejo,Vajar,52,141904,False,LICENTA_RELAX,relax
6vNFvvF0dg4LVW6LeUmcbN,Koma,Along the Way,61,167605,False,LICENTA_RELAX,relax
0NzfkMppPtYvZ9WP5BcyT8,Draumur,Woods,54,143000,False,LICENTA_RELAX,relax
2582AytP8818E123Tax64z,Ceilidh,Sacred Silence,54,192616,False,LICENTA_RELAX,relax
1aSTafokOmCN0Y80eZps0l,Il Sognatore,Aiuola,52,145624,False,LICENTA_RELAX,relax
1AsWBnSavEiTgomJPdAm0I,De Seu,Light lives on,56,158235,False,LICENTA_RELAX,relax
2XiXiqScj3UIKtB8MknKkL,Astred,Dawn,52,165854,False,LICENTA_RELAX,relax
0y7raklVx77S4QdInFKCjn,Nebula Somni,Silens,54,175961,False,LICENTA_RELAX,relax
3paI9aXjXzFsj7WvKnjWWs,Lush Lotus,Descending,68,173365,False,LICENTA_RELAX,relax
3TYs8vRlu2NuYiv18pPdoU,Bedtime Muse,Aurora’s Whisper,54,180652,False,LICENTA_RELAX,relax
1UodY3ilZxndiXxrQ0XKpR,Aetheria Solara,Aphelion,51,144991,False,LICENTA_RELAX,relax
3Ct0rClBlaHKjnQf7UMRYX,Sono Aetheris,Oriri,50,141500,False,LICENTA_RELAX,relax
7IRXx7WH8nyJzkSys6jLZL,Zeroine,Misty Forest,50,142695,False,LICENTA_RELAX,relax
0lgJq5O4atfduqtNP7sZsQ,Soundscapes Syndicate,Slow Haven Approach,51,161463,False,LICENTA_RELAX,relax
7iMIleHRGSAKSQu1MR2v64,Mont Real,Hibiscus,51,252252,False,LICENTA_RELAX,relax
1fYMSq4hlIv1FAmHZMwpDa,Rawiri Te Awa,Riverborne,57,166427,False,LICENTA_RELAX,relax
1WUdGd9PS3jfW8XtOSmoxc,Marble Sky,Reverial,56,149150,False,LICENTA_RELAX,relax
0kABrddVV7U0Dp21LbbkZl,Cuatico,Glass Air,58,147580,False,LICENTA_RELAX,relax
00kPyLYWouR6nFC8yQY5Kb,Lynx XII,Charcoal,56,188717,False,LICENTA_RELAX,relax
6CzWKVmgcAe7zvY2wy1g7Y,Silentia Dua,Solitude,57,150000,False,LICENTA_RELAX,relax
13SBcufEdzqNIIRE0ynJrM,Gates of Heaven,Mana,55,164584,False,LICENTA_RELAX,relax
1Uo8DN8pMJ5BaVN0bSdjjW,Placidous,Wishful,55,192000,False,LICENTA_RELAX,relax
2xKZonkmVH7RtBpRFQNl9v,Dance Of Centuries,Relativity,57,166601,False,LICENTA_RELAX,relax
1ibOK6xtTa09ayMqco7rzM,Flynn Simmons,Equipoise,55,144750,False,LICENTA_RELAX,relax
2WzOmwJDGbVQQq7vbquKQt,Somnolentia,Conscious Aether,54,147000,False,LICENTA_RELAX,relax
3qZBuHYRR9V9PYY1cBjrcX,Tuscany Flow,Core Equanimity,63,170666,False,LICENTA_RELAX,relax
3RVm5ck2ahAHAtNVnlR7Bj,Primer Dia,Rising Dawn,54,197100,False,LICENTA_RELAX,relax
42sptsSu3qydbov3DVQqnj,OmniBrain,The Space Between Dreams,58,180851,False,LICENTA_RELAX,relax
550fejjiCJQaSHJdncYoUA,Ayla Nenura,Yonder Somnus Song,57,167616,False,LICENTA_RELAX,relax
0rmzAXnphIcK81GsZizDIX,Alsephina,I No Longer,59,157103,False,LICENTA_RELAX,relax
1kqjkPLA8ctPyjKOycgIWB,Aurelia Drift,Gently Dreaming,55,208000,False,LICENTA_RELAX,relax
4efv7DuqFDh12UtBwaBIAz,Orchid Rain,Momentum,55,165608,False,LICENTA_RELAX,relax
4gQivo30jhXjCze9AYncDS,Cosmazul,Light Begins,55,197000,False,LICENTA_RELAX,relax
7enTQca1OOBLgMjTz2r8Ej,Soreal,Emberflow,55,184000,False,LICENTA_RELAX,relax
3MlvyZMLouyaMFhVdRIeOg,Paia Mooni,Calm Within,56,156951,False,LICENTA_RELAX,relax
3tbEsSw1pUHDRld3gPkMdP,Sonorous Drone,Fortuna,55,191560,False,LICENTA_RELAX,relax
4eVJ2RTbfxUcTLnSnnKUOM,Astra Sky,Sal Fjallsins,55,159625,False,LICENTA_RELAX,relax
1slqaSwCKMNKWjUUY5HIOP,Ali Silva,Creatore,56,178695,False,LICENTA_RELAX,relax
4K9OOUsAqIbU5N8eXw47Qw,Shimmerweave,Éther Ardent,55,138000,False,LICENTA_RELAX,relax
0gTMcD6tAb4bNzcJQ3ZH01,Lynx XII,Annual Rings,55,175500,False,LICENTA_RELAX,relax
6eLb4btONlqU5SiEz36vuL,Ljusnan,Havet,54,144000,False,LICENTA_RELAX,relax
1ch620hW0hYFvPeBhrlI0F,Monte Aria,Etherea,54,175500,False,LICENTA_RELAX,relax
4cWiibkWpiaGQrNuwc6BmB,Crystalsong,Drift Away,60,179577,False,LICENTA_RELAX,relax
5KDFmnvxpCPLpcitnYGZ8Q,Ethereal Nocturne,Meadows,58,153000,False,LICENTA_RELAX,relax
6YBTriyGUNyHcF91TQ1BmS,Iota Psi,Through The Shadows,55,168250,False,LICENTA_RELAX,relax
3dxkRoigXJ0Fs9gd43x2Zc,Foramina Nigra,Hyperion,56,178750,False,LICENTA_RELAX,relax
5HepyasUWkTg0n9RrIrGEy,Galaxarastra,Nocturnal Glow,55,158400,False,LICENTA_RELAX,relax
1rfv9eJSXDzHlPjWmE5xCh,Sasha Coleman,Singular,54,164956,False,LICENTA_RELAX,relax
3RLOFh5RpwGTzottgmSWHw,Midnight Mind,Heartbeats,55,173753,False,LICENTA_RELAX,relax
0xHyeXmflAW6fkhAQJR8aM,Suevite,Caelestia,53,165119,False,LICENTA_RELAX,relax
6IwZQRhI6epmnDiiq6X1Qr,Steve Stanton,Polarities,55,152547,False,LICENTA_RELAX,relax
68a9UdPEtlF7awD6dVbRmc,Labyrinthines,Echoes of Being,56,175496,False,LICENTA_RELAX,relax
4RZxj7BmKmlKAryPNkDXjt,Aerial Lakes,Sublimity,56,169055,False,LICENTA_RELAX,relax
0iq0Bxdc7HtX4aZGlcqKof,Leonid Antonov,Disappearance,53,159051,False,LICENTA_RELAX,relax
5jJPUauvwb8FH6nElcdawu,Echo River,The Return,55,235460,False,LICENTA_RELAX,relax
0bfnzSiA5zQA4TccKZX8Ri,Amos Stovall,Evanescent,58,160078,False,LICENTA_RELAX,relax
2c07uJucYh5cUoxwFmHGLs,Oblivion,Feels,55,165000,False,LICENTA_RELAX,relax
4MwsRX4y2FMLSgxp8ZP7UF,ispíritu,Starseer,55,185000,False,LICENTA_RELAX,relax
6G89856OrLFPvFfcRRaTBt,Hanna Lindgren,A Distant Memory,54,176850,False,LICENTA_RELAX,relax
3Z9X3ef6R2tDgXtj8GSRq9,Ursae Minoris,Delphi,57,186167,False,LICENTA_RELAX,relax
4hTNpDR683Wfas55rmIxr0,Chakra Tides,Secure,54,173559,False,LICENTA_RELAX,relax
2119X57kVeCiKrKIIS8swR,Celestine Steller,Healing Breeze,54,159999,False,LICENTA_RELAX,relax
0WD801glZHVQFrEXShBzRw,SKEN,Together,53,144112,False,LICENTA_RELAX,relax
4yFDGjJO85MSuRnCxjYPLa,Eternalistic,Echoes in Amber,54,182356,False,LICENTA_RELAX,relax
5C2RT1SCQa2434pPmzk63v,Alembra,In Awe,54,171702,False,LICENTA_RELAX,relax
1bxduZWRWByD1B2O7TEXNO,Stellar Serenity,Sensible,55,156627,False,LICENTA_RELAX,relax
7hsZcXAu5Kx1PuzY9h3RI9,Moon Lit,Empathicism,55,194400,False,LICENTA_RELAX,relax
4ZlP1iT2qEr4IeBEWLpyHF,node: project,Messier,57,254418,False,LICENTA_RELAX,relax
4FHSM0CZKWlcUwSHSDG88H,Polyphonic Grain,Exploratory,58,202978,False,LICENTA_RELAX,relax
1i82s7pAMZyyZOBQ6zas9e,Floating,Emphasis,53,180523,False,LICENTA_RELAX,relax
7oGd6fxsrIDOP3Z6Wm6xm0,Oblivionis,Fading Into Dreams,64,143376,False,LICENTA_RELAX,relax
5lkqjB8WZ02RQ5C1xfnY3c,Forsintha,Around Us,55,156074,False,LICENTA_RELAX,relax
1vDRf6EvqoEkcCu7Z8lwrb,Hibisc,Empyrean Accord,59,159902,False,LICENTA_RELAX,relax
5VCaTkrBIGmKhwOMj5FfMY,Euforbia,Slow,56,205344,False,LICENTA_RELAX,relax
1kYu4phTI3scscmCXIQXQM,Big Marsh,Crepuscular rays,55,147272,False,LICENTA_RELAX,relax
760QxbEb7jnChXRPUuXKVU,Kol Sova,Great Wave,55,139765,False,LICENTA_RELAX,relax
0QUg8u6Be41lGGP1p7X5M9,Chasing Storms,Soft Glow,58,161250,False,LICENTA_RELAX,relax
1VHQelhlpxYHLTviQtGpF1,Tristan Axvall,Hope,56,173000,False,LICENTA_RELAX,relax
5LsyYLCNA7rKrXWqZeYKw3,Uffe Jörgensen,Lunareon,56,138951,False,LICENTA_RELAX,relax
60xh2M0EKXpmZkeoh5Snyo,Lóni Alma,Sóra,56,142000,False,LICENTA_RELAX,relax
7MXt5GR4owrFTgS8pTBBrj,Dust of Stars,Asteria,56,173416,False,LICENTA_RELAX,relax
5ffWxwyjRSnfGxBobiUk6T,Embershine Air,When the Layers Fall Away,55,175110,False,LICENTA_RELAX,relax
63JfFYYqvrbL0AfuSQj33m,Astred,In Picture,54,139451,False,LICENTA_RELAX,relax
2gBTT0x8FYQ8nfxYGUqQoy,Nebula Somni,Effimero,61,148824,False,LICENTA_RELAX,relax
1XIybfIyhDoovJHeSB1XAL,Stillgarden,Equilibrium,53,161912,False,LICENTA_RELAX,relax
39klIcPKxf6bcuxlx09KkS,Marble Sky,Moonlit Reverie,59,172075,False,LICENTA_RELAX,relax
04DDJLQA0293yVpOf81xoS,Naumanni,Black Diamonds,54,149688,False,LICENTA_RELAX,relax
7qlkc2E3Zq2S2jD20KvVRt,Athyer Cane,Golden Drift,54,178797,False,LICENTA_RELAX,relax
6YXOiT3kthCZ7lcYuDMco6,Astrid Wynnmark,Luminous,54,151881,False,LICENTA_RELAX,relax
1tvDlBBQCuVBBz3J4HClqa,Noctivelle,Interconnected,57,164954,False,LICENTA_RELAX,relax
6pHGwrOwW6Lm3OHR1l1fRL,Avelio,Beginnings,54,163515,False,LICENTA_RELAX,relax
190SkXUiIojCCLM6wNlcav,Benjamin Rhey,Camomille,56,180000,False,LICENTA_RELAX,relax
6HrkDE16ntpL8bktAQemOz,Tom Schiller,Dreaming the Universe,62,160964,False,LICENTA_RELAX,relax
2kUrM8xV6k2e5yCMAgI2qn,Alón Celestia,Interplanetary,56,164000,False,LICENTA_RELAX,relax
009t6jXPEMqjR8sajWI0k8,Nash Parker,Distant Star,55,172708,False,LICENTA_RELAX,relax
0iZ9jDhTP6IpdUGIO5oa3O,William Edessa,Crimson Slumber,54,167000,False,LICENTA_RELAX,relax
6Olw83T6VRcfwwkW3s9NH6,Mindful Meadow,Dimensions,54,182400,False,LICENTA_RELAX,relax
4efEvJWOZetJmyygNkp3pt,Caio Blanco,Pasture,57,137419,False,LICENTA_RELAX,relax
7scNSyJjiayOvJ2lhFubsC,spaceboy,gentle sunfall,53,162594,False,LICENTA_RELAX,relax
6TtX2JZjPefN84X52yYhGi,Lake Nebula,Gentle Waves,56,132750,False,LICENTA_RELAX,relax
1VFiBFcoBriykaRCLTew9U,Auricz,Slow breathing,60,177824,False,LICENTA_RELAX,relax
5OqoFv8XvExZcUICbqSVaG,Calil,Levitate,56,157857,False,LICENTA_RELAX,relax
52kZ1DKjuV1j4SEtcUpbG8,Don Becker,Tranquillum,55,175700,False,LICENTA_RELAX,relax
0hYWqes6gVJiAc6I8Nl98P,Isoflimmasy,The Brightest Shadow,57,146427,False,LICENTA_RELAX,relax
5HlGObtwQkPz7Amhz9nkZq,Caius Biel,Ethereal Void,58,136250,False,LICENTA_RELAX,relax
7F3RsouOVcOGBs6u4vxlPQ,Calmative,Luna Dreams,53,147000,False,LICENTA_RELAX,relax
1497b0URRiUbZGYPiBMSME,Lóni Alma,Sapphire,54,179624,False,LICENTA_RELAX,relax
1cuyGinm5kPtimftPqD1uS,Revivo Wide,Twins,54,174000,False,LICENTA_RELAX,relax
3KCfY1UuOuoxxg5KeRAsK3,Map Of My Mind,Earth Approach,56,200330,False,LICENTA_RELAX,relax
317ctp5SnAcQtApXeVHrOK,Linden Vale,Aestra,57,158433,False,LICENTA_RELAX,relax
0FLmoG9ErJivjWQ8pZSoJH,Noni Ammin,In Quiet Admirations,56,119181,False,LICENTA_RELAX,relax
